name,state,region,category,description,best_time,rating
Goa Beaches,Goa,West,Beach,"Famous for nightlife, water sports, and scenic beaches",November-February,4.8
Manali,Himachal Pradesh,North,Hill Station,"Popular hill station with snow mountains and adventure sports",October-February,4.7
Jaipur,Rajasthan,North,Historical,"Known as the Pink City with forts and palaces",October-March,4.6
Kerala Backwaters,Kerala,South,Nature,"Beautiful backwaters with houseboat experiences",September-March,4.9
Leh Ladakh,Ladakh,North,Adventure,"High-altitude desert with stunning landscapes",May-September,4.8
Darjeeling,West Bengal,East,Hill Station,"Tea gardens and Himalayan mountain views",March-May,4.5
Rann of Kutch,Gujarat,West,Desert,"White salt desert famous for Rann Utsav",November-February,4.7
Udaipur,Rajasthan,North,Lake City,"City of lakes with royal heritage and palaces",September-March,4.8
Munnar,Kerala,South,Hill Station,"Tea plantations and cool climate destination",September-March,4.7
Andaman Islands,Andaman and Nicobar,South,Island,"Crystal clear beaches and scuba diving spots",November-April,4.9
Shimla,Himachal Pradesh,North,Hill Station,"Colonial architecture and pleasant weather",March-June,4.4
Ooty,Tamil Nadu,South,Hill Station,"Beautiful gardens, lakes, and toy train rides",October-June,4.5
Mysore,Karnataka,South,Cultural,"Known for Mysore Palace and Dasara festival",October-February,4.6
Varanasi,Uttar Pradesh,North,Spiritual,"Ancient city famous for Ganga ghats and temples",October-March,4.7
Agra,Uttar Pradesh,North,Historical,"Home of the iconic Taj Mahal monument",October-March,4.9
Rishikesh,Uttarakhand,North,Adventure,"Yoga capital with river rafting activities",September-April,4.6
Coorg,Karnataka,South,Nature,"Coffee plantations and green landscapes",October-March,4.7
Mahabaleshwar,Maharashtra,West,Hill Station,"Famous for strawberries and viewpoints",October-June,4.4
Puri,Odisha,East,Beach,"Sacred beach town with Jagannath Temple",October-February,4.5
Kaziranga National Park,Assam,East,Wildlife,"Famous wildlife sanctuary with one-horned rhinos",November-April,4.8
Amritsar,Punjab,North,Spiritual,"Golden Temple and rich Punjabi culture",October-March,4.8
Kodaikanal,Tamil Nadu,South,Hill Station,"Peaceful hill station with lakes and forests",October-June,4.5
Jaisalmer,Rajasthan,West,Desert,"Golden city with desert safari and forts",October-March,4.7
Alleppey,Kerala,South,Nature,"Popular for houseboats and backwater tourism",September-March,4.8
Gangtok,Sikkim,East,Hill Station,"Beautiful Himalayan city with monasteries",March-June,4.6
